LOCATION_ID,LAKE_ID,NAME
0707SKA0193_CSL1,0707SKA0193,"Skaneateles Lake - North, Site 1"
0707SKA0193_CSL2,0707SKA0193,"Skaneateles Lake - South, Site 2"
0705CAY0296_CSL1,0705CAY0296,"Cayuga Lake - North, Site 1"
0705CAY0296_CSL2,0705CAY0296,"Cayuga Lake - Mid-South, Site 2"
0705CAY0296_CSL3,0705CAY0296,"Cayuga Lake - South Shelf, Site 3"
0705CAY0296_CSL4,0705CAY0296,"Cayuga Lake - Mid-Lake, Site 4"
0705CAY0296_CSL5,0705CAY0296,"Cayuga Lake - Far North, Site 5"
1006GEO0367_DI_02,1006GEO0367,Lake George - Diamond Island Site
1006GEO0367_GB_23,1006GEO0367,Lake George - Gull Bay Site
1006GEO0367_HEART_24,1006GEO0367,Lake George - Hearts Bay Site
0402CON0067_CSL1,0402CON0067,"Conesus Lake - North, Site 1 "
0402CON0067_CSL2,0402CON0067,"Conesus Lake - South, Site 2"
0402CAN0043_CSL1,0402CAN0043,Canadice Lake
0704CAN0286_CSL1,0704CAN0286,"Canandaigua Lake - North, Site 1"
0704CAN0286_CSL2,0704CAN0286,"Canandaigua Lake - South, Site 2"
0402HEM0044_CSL1,0402HEM0044,"Hemlock Lake - North, Site 1"
0402HEM0044_CSL2,0402HEM0044,"Hemlock Lake - Mid, Site 2"
0402HEM0044_CSL3,0402HEM0044,"Hemlock Lake - South, Site 3"
0705KEU0388_CSL1,0705KEU0388,Keuka Lake 
0702OTI0175_CSL1,0702OTI0175,"Otisco Lake - North, Site 1"
0702OTI0175_CSL2,0702OTI0175,"Otisco Lake - South, Site 2"
0202CHA0122_SCSL,0202CHA0122,Chautauqua Lake - South Site
0202CHA0122_NCSL,0202CHA0122,Chautauqua Lake - North Site
1104SCH0374_SCSL,1104SCH0374,Schroon Lake - South Site
1104SCH0374_NCSL,1104SCH0374,Schroon Lake - North Site
1101BAL1090_SEC,1101BAL1090,Ballston Lake - Shallow Site
1101BAL1090_MAIN,1101BAL1090,Ballston Lake - Deep SIte
0705SEN0369_CSL1,0705SEN0369,"Seneca Lake - North, Site 1"
0705SEN0369_CSL2,0705SEN0369,"Seneca Lake - Mid South, Site 2"
0705SEN0369_CSL3,0705SEN0369,"Seneca Lake - Mid North, Site 3"
0705SEN0369_CSL4,0705SEN0369,"Seneca Lake - South, Site 4"
0402HON0057_CSL2,0402HON0057,Honeoye Lake
