LOCATION_ID,LAKE_ID
1201PEC0686_C,1201PEC0686
1501LUC0982B_C,1501LUC0982B
1302LIN0057A_C,1302LIN0057A
0703PAN0094_C,0703PAN0094
1101SAR0027_C,1101SAR0027
1104HUN0131_C,1104HUN0131
1104JEN0130_C,1104JEN0130
1301ORA0340_C,1301ORA0340
1301IND0167_C,1301IND0167
1302SAG0076J_C,1302SAG0076J
1004AUG0213_C,1004AUG0213
0906BUT0054_C,0906BUT0054
1005HAD0432_C,1005HAD0432
1310KIN0024_C,1310KIN0024
0502DEM0068_C,0502DEM0068
0801SEC0782B_C,0801SEC0782B
0502SAL0051_C,0502SAL0051
0104LIM0130_C,0104LIM0130
1004LIN0315_C,1004LIN0315
0404LOO0079_C,0404LOO0079
0906MIL0055_C,0906MIL0055
1301SEP0826_C,1301SEP0826
1201WCA0698_C,1201WCA0698
0104JAV0152_C,0104JAV0152
1004MIR0250_C,1004MIR0250
1301MOH0179_C,1301MOH0179
1401SOM0268_C,1401SOM0268
1310SPR0081_C,1310SPR0081
1104LUZ0318_C,1104LUZ0318
1302PEA0093_C,1302PEA0093
1005SUN0440_C,1005SUN0440
0601CHE0213_C,0601CHE0213
1104EAG0438_C,1104EAG0438
0902DEE0073_C,0902DEE0073
0602CRO0073_C,0602CRO0073
1201PLE0745_C,1201PLE0745
0801BRA0689_C,0801BRA0689
1201CAN0717_C,1201CAN0717
1104FOR0340_C,1104FOR0340
1301TOM0150I_C,1301TOM0150I
0602MOR0152_C,0602MOR0152
1102TAC1129_C,1102TAC1129
1301FOR0441_C,1301FOR0441
0502SMI0066_C,0502SMI0066
1401STU0245_C,1401STU0245
0601GUI0188_C,0601GUI0188
1404DEE0389_C,1404DEE0389
0602PET0078_C,0602PET0078
1302CAR0062A_C,1302CAR0062A
1302RIP0119_C,1302RIP0119
1302OSC0118_C,1302OSC0118
1701LON0702_C,1701LON0702
1701LLO0708_C,1701LLO0708
0703TUS0153A_C,0703TUS0153A
0602SON0072_C,0602SON0072
1305STI0409_C,1305STI0409
0902EAG0083_C,0902EAG0083
1301SLE6666_C,1301SLE6666
0602ULI0067_C,0602ULI0067
1301ROA0183B_C,1301ROA0183B
1701FRE0661_C,1701FRE0661
1302CHI0075_C,1302CHI0075
1302BAR0071_C,1302BAR0071
1302KIR0052_C,1302KIR0052
0201CUB0115_C,0201CUB0115
1301BUC0303_C,1301BUC0303
1302HOW0127_C,1302HOW0127
0602TUL0068_C,0602TUL0068
1401MON0186_C,1401MON0186
1402PLE0045_C,1402PLE0045
1104PLE0313_C,1104PLE0313
0202FIN0153_C,0202FIN0153
0703JAM0144_C,0703JAM0144
1302PAL0061A_C,1302PAL0061A
0302LAC0132_C,0302LAC0132
1308LONXXX1_C,1308LONXXX1
1308LRH0888_C,1308LRH0888
1306UWB0464B_C,1306UWB0464B
1301BAR0181_C,1301BAR0181
1701FRE0458_C,1701FRE0458
0503TANXXX1_C,0503TANXXX1
1302SEV0077C_C,1302SEV0077C
0602TRU5405_C,0602TRU5405
0903RAQ0293_C,0903RAQ0293
1302KEN5213_C,1302KEN5213
1301VOS0433_C,1301VOS0433
0502WAN0048_C,0502WAN0048
1104BRA0347_C,1104BRA0347
1102BAB1109_C,1102BAB1109
1404OQU0383_C,1404OQU0383
0602MEL0039_C,0602MEL0039
0602HAT0155_C,0602HAT0155
0602EAR0146_C,0602EAR0146
0602EAT0163_C,0602EAT0163
0703DER0139A_C,0703DER0139A
1302WAC0117_C,1302WAC0117
0703CAZ0153_C,0703CAZ0153
0705DUC0222_C,0705DUC0222
0705COM0333_C,0705COM0333
0602BRA0154_C,0602BRA0154
0502LAM0047_C,0502LAM0047
0302SOD0096_C,0302SOD0096
0906BON0024_C,0906BON0024
1310QUE0057_C,1310QUE0057
1401ANA0251_C,1401ANA0251
0601CAN0392_C,0601CAN0392
1701LFR0662_C,1701LFR0662
1308ROB0902_C,1308ROB0902
0706OWA0212_CSL1,0706OWA0212
1311DUA0276A_C,1311DUA0276A
1201ECA0697_C,1201ECA0697
1201GAL0563_C,1201GAL0563
0602GEN0088_C,0602GEN0088
0303LOR0009_C,0303LOR0009
1301PEE0171_C,1301PEE0171
0601BEA0174_C,0601BEA0174
1005GLE0441_C,1005GLE0441
1104FRI0365_C,1104FRI0365
0703KAS0109_C,0703KAS0109
1004PLA0254_C,1004PLA0254
0703PLE0019_C,0703PLE0019
0602PLY0107_C,0602PLY0107
1310ROU0080_C,1310ROU0080
1301TIB0183E_C,1301TIB0183E
0602WAR0094_C,0602WAR0094
1103COS0079_C,1103COS0079
0801OTT0926_C,0801OTT0926
1301BUR0386C_C,1301BUR0386C
1301BOW0444_C,1301BOW0444
